Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","14/01/2024 15:11 UTC"
"Last updated:","24 October 2023"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=1L8Xzu
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:
Origin:
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Other people in need of international protection","Stateless persons","Host Community","Others of concern"
2018,-,-,-,-,20359553,3501629,41425168,2592947,3851981,-,1182756
2019,-,-,-,-,20414669,4148141,43503362,3582202,4217776,2304506,3836116
2020,-,-,-,-,20661846,4184926,48557439,3862102,4179349,4369021,3940730
2021,-,-,-,-,21327285,4616134,51322623,4406409,4337409,6731133,4223878
2022,-,-,-,-,29429078,5442314,57321197,5217456,4428314,23957770,6008804
2023,-,-,-,-,30510633,6081121,57013324,5322120,4391680,25145696,5758910
